ds,actual,predicted,consensus_pred,error
2021-06-01,850.0,763.3918624902269,788.0,86.60813750977309
2021-07-01,943.0,857.2314211551561,925.0,85.76857884484389
2021-08-01,235.0,882.4347282920377,675.0,-647.4347282920377
2021-09-01,194.0,245.88179982341356,453.0,-51.88179982341356
2021-10-01,531.0,190.40461615479904,401.0,340.59538384520096
2021-11-01,210.0,508.8762426813248,495.0,-298.8762426813248
2021-12-01,199.0,466.358677032137,399.0,-267.358677032137
2022-01-01,467.0,457.27828456040584,166.66666666666666,9.721715439594163
2022-02-01,678.0,305.3164379240691,361.6666666666667,372.6835620759309
2022-03-01,431.0,424.9459340799376,471.6666666666667,6.054065920062385
2022-04-01,428.0,225.43799258084923,401.5,202.56200741915077
2022-05-01,390.0,335.18254086163694,306.6666666666667,54.81745913836306
2022-06-01,372.0,345.1782424844977,293.75,26.821757515502327
2022-07-01,528.0,323.2647056768055,266.6666666666667,204.73529432319452
2022-08-01,315.0,302.2094298540522,328.75,12.790570145947811
2022-09-01,263.0,230.59590037028184,276.6666666666667,32.40409962971816
2022-10-01,261.0,-52.56243462967024,235.0,313.56243462967024
2022-11-01,263.0,166.71734352340093,220.75,96.28265647659907
2022-12-01,223.0,260.42148422461145,201.25,-37.42148422461145
2023-01-01,517.0,396.3443054073627,211.66666666666666,120.6556945926373
2023-02-01,311.0,259.4377281251563,254.5,51.5622718748437
2023-03-01,236.0,249.5907980804386,242.5,-13.590798080438589
2023-04-01,253.0,212.44810972095578,192.0,40.551890279044216
2023-05-01,339.0,236.44811557225415,197.0,102.55188442774585
2023-06-01,209.0,253.2290776755386,207.0,-44.229077675538605
2023-07-01,187.0,172.35382949862233,211.25,14.646170501377668
2023-08-01,187.0,178.7265402661715,178.0,8.273459733828503
2023-09-01,336.0,193.3172686020538,168.25,142.6827313979462
2023-10-01,150.0,145.61924732067658,158.0,4.380752679323422
2023-11-01,164.0,130.38407454526558,172.5,33.61592545473442
2023-12-01,216.0,55.90495566014364,168.75,160.09504433985637
2024-01-01,353.0,306.34426331066084,185.75,46.655736689339165
2024-02-01,275.0,196.3785970467031,187.5,78.6214029532969
2024-03-01,303.0,195.72729667651706,207.0,107.27270332348294
2024-04-01,175.0,243.24598588669315,237.5,-68.24598588669315
2024-05-01,272.0,180.62982544236633,187.5,91.37017455763367
2024-06-01,206.0,187.5035667271723,187.5,18.496433272827687
2024-07-01,114.0,177.75884115939002,178.75,-63.758841159390016
2024-08-01,142.0,152.02942285374564,163.25,-10.029422853745643
2024-09-01,254.0,171.5408904270577,151.66666666666666,82.45910957294231
2024-10-01,12.0,87.5223076833816,107.5,-75.5223076833816
2024-11-01,227.0,108.06371733756309,202.5,118.93628266243691
2024-12-01,256.0,182.09694111359767,165.0,73.90305888640233
2025-01-01,143.0,232.29257521352397,137.5,-89.29257521352397
2025-02-01,151.0,73.90155763996,172.5,77.09844236004
2025-03-01,228.0,210.56386072222253,133.75,17.43613927777747
2025-04-01,177.0,187.39213013534152,128.75,-10.392130135341517
2025-05-01,139.0,75.50621460185998,127.5,63.49378539814002
2025-06-01,147.0,159.95099721420632,100.0,-12.950997214206325
2025-07-01,73.0,68.4209005540798,111.66666666666667,4.579099445920207
2025-08-01,22.0,67.03620349647728,68.5,-45.036203496477285
2025-09-01,119.0,110.03171086986643,54.5,8.96828913013357
2025-10-01,-138.0,-31.99867253496433,22.0,-106.00132746503567
2025-11-01,64.0,51.62622352141954,32.0,12.37377647858046
2025-12-01,50.0,93.48386832643118,60.0,-43.48386832643118
2026-01-01,130.0,176.47420009804333,83.0,-46.474200098043326
2026-02-01,-92.0,76.99466950961458,66.0,-168.9946695096146
2026-03-01,178.0,132.37105540718565,51.0,45.62894459281435
2026-04-01,,148.035253032246,90.0,
